age,food_item,review,category
24,Fish Curry,Khana fresh tha aur taste bhi badhiya.,Chinese
42,Kofta Curry,"Delicious and perfectly spiced, loved it!",Non-Vegetarian
60,Fish Curry,"Yaar, itna tasty tha, maza aa gaya!",Vegetarian
30,Vada Pav,"Perfect lunch, bilkul ghar jaisa.",Breakfast
22,Rabri,"Yaar, itna tasty tha, maza aa gaya!",Street Food
30,Rasgulla,"Perfect lunch, bilkul ghar jaisa.",Dinner
68,Naan,"The food was amazing, but delivery was late.",Vegetarian
62,Baingan Bharta,Samosa toh ekdum crisp aur tasty tha.,Snacks
21,Biryani,"The food was amazing, but delivery was late.",Street Food
69,Imarti,"Delicious and perfectly spiced, loved it!",Vegetarian
63,Palak Paneer,"Great taste, will order again!",Vegan
60,Kachori,"Thoda teekha tha, but I still liked it.",Street Food
18,Pani Puri,"Yaar, itna tasty tha, maza aa gaya!",Street Food
53,Mutton Korma,"Bahut swaadisht tha, ekdum desi maza!",Street Food
20,Naan,"Great taste, will order again!",Dinner
35,Malai Kofta,"Bahut swaadisht tha, ekdum desi maza!",Chinese
36,Paneer Tikka,"Bahut swaadisht tha, ekdum desi maza!",Dessert
24,Paneer Butter Masala,"Thoda teekha tha, but I still liked it.",Lunch
31,Aloo Gobi,Samosa toh ekdum crisp aur tasty tha.,Dinner
48,Vegetable Biryani,"Bahut swaadisht tha, ekdum desi maza!",Vegetarian
52,Aloo Tikki,Khana fresh tha aur taste bhi badhiya.,Snacks
59,Fish Curry,"Yaar, itna tasty tha, maza aa gaya!",Dessert
59,Rasgulla,"Delicious and perfectly spiced, loved it!",Breakfast
55,Paneer Butter Masala,"Bahut swaadisht tha, ekdum desi maza!",Vegan
29,Jalebi,Khana fresh tha aur taste bhi badhiya.,Dinner
68,Pav Bhaji,Khana fresh tha aur taste bhi badhiya.,Breakfast
63,Butter Chicken,"Perfect lunch, bilkul ghar jaisa.",Lunch
50,Roti Sabzi,"Perfect lunch, bilkul ghar jaisa.",Snacks
13,Lassi,"Delicious and perfectly spiced, loved it!",Breakfast
13,Paneer Butter Masala,"Perfect lunch, bilkul ghar jaisa.",Street Food
42,Fish Curry,"Great taste, will order again!",Breakfast
39,Vada Pav,"Great taste, will order again!",Breakfast
34,Mutton Rogan Josh,"Great taste, will order again!",Snacks
30,Lassi,"Great taste, will order again!",Dessert
61,Mutton Korma,"The food was amazing, but delivery was late.",Dinner
44,Palak Paneer,Khana fresh tha aur taste bhi badhiya.,Dinner
14,Sev Puri,Samosa toh ekdum crisp aur tasty tha.,Dinner
69,Tandoori Chicken,"Thoda teekha tha, but I still liked it.",Non-Vegetarian
26,Rajma Chawal,Samosa toh ekdum crisp aur tasty tha.,Vegan
35,Litti Chokha,"Great taste, will order again!",Dessert
14,Chaat,"Great taste, will order again!",Vegetarian
31,Jalebi,Samosa toh ekdum crisp aur tasty tha.,Vegetarian
22,Rajma Chawal,"Bahut swaadisht tha, ekdum desi maza!",Vegetarian
68,Barfi,"Perfect lunch, bilkul ghar jaisa.",Street Food
20,Rasgulla,"Delicious and perfectly spiced, loved it!",Street Food
32,Dal Makhani,"Yaar, itna tasty tha, maza aa gaya!",Vegetarian
21,Paneer Tikka,"Thoda teekha tha, but I still liked it.",Dessert
60,Mutton Korma,"Great taste, will order again!",Dinner
21,Kadhi Pakora,"Bahut swaadisht tha, ekdum desi maza!",Vegetarian
39,Mutton Rogan Josh,"Perfect lunch, bilkul ghar jaisa.",Lunch
27,Pani Puri,"Great taste, will order again!",Lunch
49,Paneer Tikka,"Yaar, itna tasty tha, maza aa gaya!",Snacks
50,Tandoori Roti,"The food was amazing, but delivery was late.",Street Food
27,Pani Puri,Khana fresh tha aur taste bhi badhiya.,Non-Vegetarian
34,Tandoori Roti,Samosa toh ekdum crisp aur tasty tha.,Breakfast
35,Chicken Curry,Samosa toh ekdum crisp aur tasty tha.,Dinner
63,Paneer Tikka,Khana fresh tha aur taste bhi badhiya.,Lunch
26,Dal Fry,"Delicious and perfectly spiced, loved it!",Chinese
66,Jalebi,"Great taste, will order again!",Street Food
35,Mutton Korma,"Great taste, will order again!",Vegetarian
66,Gulab Jamun,Samosa toh ekdum crisp aur tasty tha.,Dinner
52,Vegetable Biryani,"Yaar, itna tasty tha, maza aa gaya!",Dinner
68,Naan,"The food was amazing, but delivery was late.",Street Food
53,Lassi,"The food was amazing, but delivery was late.",Snacks
67,Malai Kofta,"Delicious and perfectly spiced, loved it!",Breakfast
46,Gulab Jamun,"The food was amazing, but delivery was late.",Non-Vegetarian
55,Palak Paneer,"The food was amazing, but delivery was late.",Breakfast
31,Kofta Curry,"Perfect lunch, bilkul ghar jaisa.",Vegan
42,Rajma Chawal,Samosa toh ekdum crisp aur tasty tha.,Lunch
14,Rasgulla,"Yaar, itna tasty tha, maza aa gaya!",Street Food
43,Fish Fry,"Bahut swaadisht tha, ekdum desi maza!",Street Food
42,Jalebi,"Thoda teekha tha, but I still liked it.",Snacks
52,Fish Fry,"Yaar, itna tasty tha, maza aa gaya!",Street Food
17,Pani Puri,"Thoda teekha tha, but I still liked it.",Dinner
22,Vegetable Biryani,"Great taste, will order again!",Vegan
49,Mutton Korma,"The food was amazing, but delivery was late.",Vegan
38,Samosa,Khana fresh tha aur taste bhi badhiya.,Dessert
48,Imarti,"Great taste, will order again!",Street Food
50,Falooda,"Yaar, itna tasty tha, maza aa gaya!",Breakfast
49,Sev Puri,"Thoda teekha tha, but I still liked it.",Lunch
24,Barfi,"The food was amazing, but delivery was late.",Street Food
63,Jalebi,"Delicious and perfectly spiced, loved it!",Vegetarian
19,Tandoori Chicken,"The food was amazing, but delivery was late.",Dessert
69,Kadhi Pakora,"Bahut swaadisht tha, ekdum desi maza!",Snacks
69,Chicken Biryani,"Perfect lunch, bilkul ghar jaisa.",Lunch
51,Chicken Curry,"Great taste, will order again!",Non-Vegetarian
10,Tandoori Chicken,"Thoda teekha tha, but I still liked it.",Non-Vegetarian
59,Samosa,"Yaar, itna tasty tha, maza aa gaya!",Non-Vegetarian
56,Shahi Paneer,"Perfect lunch, bilkul ghar jaisa.",Dinner
42,Chicken Curry,Samosa toh ekdum crisp aur tasty tha.,Vegetarian
43,Gulab Jamun,"Perfect lunch, bilkul ghar jaisa.",Chinese
12,Imarti,"The food was amazing, but delivery was late.",Snacks
29,Butter Chicken,"Perfect lunch, bilkul ghar jaisa.",Snacks
64,Tandoori Chicken,"Yaar, itna tasty tha, maza aa gaya!",Lunch
31,Lassi,Samosa toh ekdum crisp aur tasty tha.,Lunch
63,Shahi Paneer,"Bahut swaadisht tha, ekdum desi maza!",Breakfast
27,Butter Chicken,"Perfect lunch, bilkul ghar jaisa.",Street Food
59,Dal Makhani,"Perfect lunch, bilkul ghar jaisa.",Street Food
61,Rabri,"Great taste, will order again!",Dessert
39,Aloo Gobi,"Perfect lunch, bilkul ghar jaisa.",Non-Vegetarian
32,Rajma Chawal,"Great taste, will order again!",Snacks
68,Pav Bhaji,Samosa toh ekdum crisp aur tasty tha.,Dessert
32,Malai Kofta,"The food was amazing, but delivery was late.",Breakfast
21,Biryani,"Thoda teekha tha, but I still liked it.",Chinese
14,Tandoori Chicken,"Thoda teekha tha, but I still liked it.",Breakfast
37,Biryani,"The food was amazing, but delivery was late.",Lunch
52,Rajma Chawal,Samosa toh ekdum crisp aur tasty tha.,Non-Vegetarian
56,Chicken Curry,"Thoda teekha tha, but I still liked it.",Non-Vegetarian
24,Mutton Korma,"Bahut swaadisht tha, ekdum desi maza!",Non-Vegetarian
28,Mutton Rogan Josh,"The food was amazing, but delivery was late.",Vegetarian
61,Litti Chokha,Khana fresh tha aur taste bhi badhiya.,Non-Vegetarian
62,Malai Kofta,"Bahut swaadisht tha, ekdum desi maza!",Chinese
24,Vegetable Biryani,"Delicious and perfectly spiced, loved it!",Vegan
33,Pani Puri,"Thoda teekha tha, but I still liked it.",Dessert
58,Jalebi,"Yaar, itna tasty tha, maza aa gaya!",Street Food
64,Dal Makhani,"Perfect lunch, bilkul ghar jaisa.",Lunch
62,Kofta Curry,"The food was amazing, but delivery was late.",Dessert
25,Dal Fry,Khana fresh tha aur taste bhi badhiya.,Lunch
19,Rabri,"Thoda teekha tha, but I still liked it.",Vegan
34,Tandoori Roti,"Delicious and perfectly spiced, loved it!",Street Food
66,Chaat,"The food was amazing, but delivery was late.",Dessert
62,Pani Puri,"Thoda teekha tha, but I still liked it.",Dessert
43,Aloo Gobi,"Bahut swaadisht tha, ekdum desi maza!",Non-Vegetarian
35,Malai Kofta,Khana fresh tha aur taste bhi badhiya.,Dinner
63,Aloo Gobi,Samosa toh ekdum crisp aur tasty tha.,Vegetarian
36,Lassi,Khana fresh tha aur taste bhi badhiya.,Street Food
52,Gulab Jamun,"Perfect lunch, bilkul ghar jaisa.",Non-Vegetarian
14,Tandoori Chicken,"The food was amazing, but delivery was late.",Dessert
30,Mutton Korma,"Thoda teekha tha, but I still liked it.",Chinese
64,Naan,Khana fresh tha aur taste bhi badhiya.,Vegetarian
34,Chicken Biryani,"Yaar, itna tasty tha, maza aa gaya!",Vegan
32,Pav Bhaji,"Thoda teekha tha, but I still liked it.",Dessert
20,Gulab Jamun,"Great taste, will order again!",Dinner
23,Roti Sabzi,"Perfect lunch, bilkul ghar jaisa.",Lunch
23,Mutton Korma,"Great taste, will order again!",Vegan
50,Mutton Korma,"Perfect lunch, bilkul ghar jaisa.",Dinner
66,Roti Sabzi,"Perfect lunch, bilkul ghar jaisa.",Street Food
47,Jalebi,Samosa toh ekdum crisp aur tasty tha.,Dinner
45,Chaat,"Perfect lunch, bilkul ghar jaisa.",Lunch
50,Kulfi,"Yaar, itna tasty tha, maza aa gaya!",Breakfast
26,Jalebi,Samosa toh ekdum crisp aur tasty tha.,Vegan
10,Roti Sabzi,Samosa toh ekdum crisp aur tasty tha.,Dessert
46,Malai Kofta,"Yaar, itna tasty tha, maza aa gaya!",Snacks
57,Dal Makhani,"The food was amazing, but delivery was late.",Vegetarian
56,Naan,"The food was amazing, but delivery was late.",Snacks
18,Falooda,"Perfect lunch, bilkul ghar jaisa.",Vegan
21,Dal Makhani,"Perfect lunch, bilkul ghar jaisa.",Vegetarian
14,Barfi,"Bahut swaadisht tha, ekdum desi maza!",Breakfast
22,Jalebi,"Great taste, will order again!",Breakfast
13,Roti Sabzi,"Thoda teekha tha, but I still liked it.",Vegan
42,Biryani,"Delicious and perfectly spiced, loved it!",Dinner
43,Mutton Korma,Samosa toh ekdum crisp aur tasty tha.,Non-Vegetarian
70,Baingan Bharta,Khana fresh tha aur taste bhi badhiya.,Non-Vegetarian
56,Pani Puri,"Perfect lunch, bilkul ghar jaisa.",Breakfast
58,Lassi,Samosa toh ekdum crisp aur tasty tha.,Vegan
14,Kofta Curry,"Great taste, will order again!",Non-Vegetarian
68,Pani Puri,"Yaar, itna tasty tha, maza aa gaya!",Snacks
46,Bhindi Masala,Khana fresh tha aur taste bhi badhiya.,Lunch
33,Biryani,Khana fresh tha aur taste bhi badhiya.,Lunch
31,Fish Fry,"Perfect lunch, bilkul ghar jaisa.",Non-Vegetarian
62,Kofta Curry,"The food was amazing, but delivery was late.",Lunch
47,Kadhi Pakora,"Bahut swaadisht tha, ekdum desi maza!",Dinner
45,Rasgulla,Samosa toh ekdum crisp aur tasty tha.,Lunch
50,Dal Fry,"Great taste, will order again!",Vegetarian
