age,food_item,meal_category,region,review
49,Ghar Ka Khana,Street Food,Gujarat,and the taste did not disappoint.
28,Fish Curry,Spicy,Uttar Pradesh,and the taste lived up to expectations.
58,Kachori,Indian Curry,Uttar Pradesh,but I feel there are better options available.
29,Tandoori Fish,Indian Curry,Karnataka,The meal was satisfying
26,Rajma Chawal,Chinese,Maharashtra,I was surprised by how bland the dish turned out to be.
59,Cheesy Veggie Wrap,Seafood,Maharashtra,It was okay
28,Paneer Tikka Masala,Street Food,Tamil Nadu,I was not a fan of the seasoning; it felt a bit off.
62,Kachori,Cheesy,Gujarat,I loved the combination of flavors; it was a delightful surprise.
40,Cheesy Garlic Bread,Cheesy,Kerala,but I wouldn't order it again.
11,Mac and Cheese,Seafood,Gujarat,and the taste did not disappoint.
16,Chili Chicken,Street Food,Gujarat,I was surprised by how bland the dish turned out to be.
18,Aloo Tikki Chaat,Healthy,Maharashtra,I appreciated the effort put into the dish
28,Baingan Bharta,Snacks,Maharashtra,The dish was well-prepared and the flavors were spot on!
27,Fried Rice,Healthy,Tamil Nadu,The overall experience was pleasant
43,Vegetable Soup,Snacks,Karnataka,The meal was satisfying
39,Barfi,Seafood,Delhi,The flavors were unique
39,Vegetable Biryani,Dessert,Punjab,The aroma was inviting
40,Chaat,Healthy,Tamil Nadu,but I feel there are better options available.
46,Ghar Ka Khana,Vegan,Maharashtra,but it missed the mark.
15,Hakka Noodles,Indian Curry,Rajasthan,I was left wanting more; it felt incomplete.
33,Ladoo,Chinese,Maharashtra,and I appreciated the creativity behind it.
10,Malabar Fish Curry,Cheesy,Uttar Pradesh,but I expected more based on the reviews.
13,Vada Pav,Cheesy,Punjab,I was not a fan of the seasoning; it felt a bit off.
29,Chana Masala,Seafood,Uttar Pradesh,but I expected more based on the reviews.
48,Tandoori Chicken,Indian Curry,Gujarat,but I feel there are better options available.
34,Chili Chicken,Spicy,Maharashtra,making it a memorable dish.
63,Hot and Sour Soup,Healthy,Kerala,It was fine
32,Chana Masala,Indian Curry,Karnataka,The portion size was generous
39,Baingan Bharta,Chinese,Uttar Pradesh,a satisfying meal that I would recommend.
65,Kachori,Spicy,Delhi,making it a good value.
11,Murukku,Cheesy,West Bengal,The portion size was generous
16,Mutton Rogan Josh,Seafood,Punjab,The meal was packed with flavor; I can't wait to have it again!
30,Sprouted Moong Salad,Spicy,Karnataka,but I feel there are better options available.
54,Bombil Fry,Healthy,Maharashtra,I found it to be too oily for my liking.
40,Cheesy Pasta,Chinese,West Bengal,I appreciated the effort put into the dish
12,Cheesy Garlic Bread,Indian Curry,Delhi,The presentation was impressive
38,Chicken Curry,Vegan,Kerala,The meal was packed with flavor; I can't wait to have it again!
49,Cheesy Garlic Bread,Chinese,Maharashtra,The overall experience was pleasant
28,Rasgulla,Healthy,Punjab,and the taste lived up to expectations.
30,Chaat,Snacks,Gujarat,The consistency was a bit strange; not what I expected.
28,Oats Upma,Vegan,Tamil Nadu,The food was decent
38,Chicken Vindaloo,Chinese,Punjab,I was surprised by how bland the dish turned out to be.
23,Pani Puri,Chinese,Uttar Pradesh,but the food was just average.
32,Zucchini Noodles,Chinese,Karnataka,The overall experience was pleasant
17,Rabri,Street Food,Kerala,The portion size was generous
57,Salad,Indian Curry,Karnataka,but I expected more based on the reviews.
29,Fish Fry,Dessert,Uttar Pradesh,but the food was just average.
17,Goan Prawn Curry,Vegan,Karnataka,I loved the combination of flavors; it was a delightful surprise.
43,Rabri,Vegan,Tamil Nadu,I appreciated the effort put into the dish
25,Cheesy Garlic Bread,Seafood,West Bengal,I was surprised by how bland the dish turned out to be.
67,Mac and Cheese,Dessert,Punjab,but I feel there are better options available.
48,Murukku,Dessert,West Bengal,and I appreciated the creativity behind it.
37,Fish Curry,Dessert,Tamil Nadu,and the taste did not disappoint.
46,Aloo Gobi,Spicy,Delhi,I enjoyed it
53,Mutton Rogan Josh,Vegan,Tamil Nadu,The flavors were unique
37,Vada Pav,Vegan,West Bengal,I was thrilled with how flavorful it was; a real treat!
36,Aloo Tikki Chaat,Street Food,Kerala,I was not a fan of the seasoning; it felt a bit off.
51,Mutton Rogan Josh,Spicy,Uttar Pradesh,I was not a fan of the seasoning; it felt a bit off.
56,Bhindi Masala,Cheesy,Gujarat,The meal had great potential but ultimately fell short.
43,Pani Puri,Cheesy,Karnataka,The meal was packed with flavor; I can't wait to have it again!
35,Spring Rolls,Healthy,Rajasthan,Overall
26,Vegan Pulao,Chinese,Delhi,The meal was satisfying
31,Ghar Ka Khana,Vegan,Delhi,I loved the combination of flavors; it was a delightful surprise.
22,Dal Tadka,Seafood,Gujarat,It was fine
16,Ladoo,Snacks,Karnataka,though not memorable.
54,Butter Chicken,Seafood,Kerala,but it missed the mark.
51,Salad,Chinese,Uttar Pradesh,It was okay
68,Paneer Tikka,Cheesy,West Bengal,but I feel there are better options available.
13,Fish Curry,Street Food,Karnataka,The portion size was generous
61,Vegetable Soup,Dessert,Tamil Nadu,The consistency was a bit strange; not what I expected.
33,Paneer Tikka Masala,Healthy,Rajasthan,though not memorable.
33,Fish Curry,Chinese,Uttar Pradesh,I found the meal to be quite average; nothing particularly stood out.
69,Palak Chaat,Indian Curry,Kerala,The texture was perfect
46,Dim Sum,Snacks,Gujarat,It was just alright; I wouldn't go out of my way to have it again.
53,Stuffed Capsicum,Chinese,Tamil Nadu,but I wouldn't order it again.
47,Chicken Curry,Seafood,Maharashtra,The food was decent
20,Aloo Tikki,Seafood,Delhi,The texture was perfect
32,Chicken Curry,Chinese,Tamil Nadu,The texture was perfect
67,Cheesy Garlic Bread,Seafood,Maharashtra,I loved the combination of flavors; it was a delightful surprise.
20,Jalebi,Snacks,Karnataka,It was fine
10,Spicy Prawn Curry,Chinese,Uttar Pradesh,The meal was packed with flavor; I can't wait to have it again!
28,Murukku,Dessert,Punjab,and I appreciated the creativity behind it.
26,Fish Tikka,Snacks,Rajasthan,The dish was well-prepared and the flavors were spot on!
39,Chicken Vindaloo,Snacks,Karnataka,and every bite was a joy!
69,Kheer,Dessert,Delhi,The food was decent
31,Kheer,Healthy,Punjab,and I appreciated the creativity behind it.
67,Grilled Paneer,Spicy,Uttar Pradesh,It was just alright; I wouldn't go out of my way to have it again.
38,Vegetable Soup,Healthy,Maharashtra,The overall experience was pleasant
69,Dahi Puri,Snacks,Tamil Nadu,and I appreciated the creativity behind it.
54,Rabri,Vegan,Gujarat,I found the meal to be quite average; nothing particularly stood out.
51,Sev Puri,Seafood,Maharashtra,Overall
57,Chili Chicken,Dessert,Rajasthan,I was surprised by how bland the dish turned out to be.
70,Ghar Ka Khana,Spicy,Rajasthan,I was thrilled with how flavorful it was; a real treat!
40,Pani Puri,Street Food,Delhi,I appreciated the effort put into the dish
33,Prawn Masala,Indian Curry,Karnataka,and every bite was a joy!
13,Stuffed Capsicum,Dessert,Karnataka,I loved the combination of flavors; it was a delightful surprise.
60,Manchurian,Seafood,Punjab,making it a good value.
47,Rajma,Seafood,Tamil Nadu,and the taste did not disappoint.
52,Crab Masala,Vegan,Kerala,Overall
70,Palak Paneer,Indian Curry,Karnataka,and the taste lived up to expectations.
16,Spring Rolls,Healthy,Karnataka,I found the meal to be quite average; nothing particularly stood out.
30,Cheese Pav Bhaji,Cheesy,Rajasthan,I found it to be too oily for my liking.
55,Chaat,Dessert,Rajasthan,The dish was well-prepared and the flavors were spot on!
69,Rasgulla,Street Food,Maharashtra,but the food was just average.
48,Chicken Vindaloo,Cheesy,Gujarat,It was quite disappointing; I expected a lot more flavor.
47,Vegetable Soup,Dessert,Kerala,but it missed the mark.
14,Murukku,Street Food,Karnataka,Absolutely loved the spices used; it was a delightful experience!
50,Methi Paratha,Street Food,Delhi,I found the meal to be quite average; nothing particularly stood out.
52,Grilled Paneer,Vegan,West Bengal,but I wouldn't order it again.
44,Gulab Jamun,Snacks,Punjab,making it a good value.
65,Kheer,Snacks,Tamil Nadu,I enjoyed it
43,Cheese Samosa,Chinese,Kerala,The meal was satisfying
50,Aloo Tikki Chaat,Vegan,Maharashtra,It was fine
53,Crab Masala,Street Food,Gujarat,I found it to be too oily for my liking.
18,Gulab Jamun,Indian Curry,Uttar Pradesh,The portion size was generous
12,Stuffed Capsicum,Snacks,Maharashtra,The presentation was impressive
39,Gulab Jamun,Chinese,Punjab,I was not a fan of the seasoning; it felt a bit off.
16,Cheesy Garlic Bread,Vegan,West Bengal,The portion size was generous
13,Gulab Jamun,Street Food,Punjab,The service was excellent
26,Manchurian,Indian Curry,Maharashtra,It was quite disappointing; I expected a lot more flavor.
55,Chili Chicken,Spicy,West Bengal,Absolutely loved the spices used; it was a delightful experience!
52,Spicy Prawn Curry,Street Food,Gujarat,It was quite disappointing; I expected a lot more flavor.
25,Sev Puri,Healthy,Tamil Nadu,but I wouldn't order it again.
57,Cheese Dosa,Cheesy,Karnataka,It was just alright; I wouldn't go out of my way to have it again.
55,Paneer Butter Masala,Cheesy,Kerala,Overall
47,Jalebi,Spicy,Punjab,but I expected more based on the reviews.
29,Kung Pao Chicken,Street Food,Rajasthan,The portion size was generous
49,Chana Masala,Street Food,Punjab,It was fine
52,Vegan Pulao,Cheesy,Delhi,I was thrilled with how flavorful it was; a real treat!
21,Vegetable Chow Mein,Healthy,Rajasthan,and I appreciated the creativity behind it.
25,Murukku,Healthy,Karnataka,The dish was average; I expected more based on the hype.
17,Vegetable Chow Mein,Healthy,Kerala,I enjoyed it
30,Murukku,Street Food,Tamil Nadu,The presentation was impressive
30,Dahi Puri,Seafood,Tamil Nadu,The consistency was a bit strange; not what I expected.
21,Peda,Seafood,Tamil Nadu,The texture was perfect
34,Masala Dosa,Dessert,Punjab,and I appreciated the creativity behind it.
31,Ladoo,Healthy,Gujarat,I found it to be too oily for my liking.
44,Cheese Stuffed Mushroom,Healthy,Rajasthan,The dish was well-prepared and the flavors were spot on!
58,Pakoras,Street Food,Uttar Pradesh,The flavors were unique
51,Chaat,Chinese,Maharashtra,but I feel there are better options available.
34,Mutton Rogan Josh,Chinese,Tamil Nadu,and the taste lived up to expectations.
30,Chicken Vindaloo,Spicy,West Bengal,and every bite was a joy!
45,Goan Prawn Curry,Seafood,Maharashtra,and every bite was a joy!
52,Vegan Pulao,Indian Curry,Gujarat,The meal had great potential but ultimately fell short.
11,Pakoras,Chinese,West Bengal,The ingredients felt fresh
53,Gulab Jamun,Seafood,Tamil Nadu,though not memorable.
58,Salad,Spicy,Gujarat,but I think it could use a bit more spice.
58,Chana Masala,Street Food,Rajasthan,but I expected more based on the reviews.
40,Fried Rice,Chinese,Punjab,I enjoyed it
52,Kachori,Chinese,Punjab,I loved the combination of flavors; it was a delightful surprise.
19,Ladoo,Indian Curry,Delhi,It was quite disappointing; I expected a lot more flavor.
58,Aloo Gobi,Indian Curry,Rajasthan,making it a good value.
64,Sprouted Moong Salad,Indian Curry,Kerala,but I wouldn't order it again.
57,Vegetable Biryani,Chinese,Rajasthan,The food was decent
29,Vada Pav,Seafood,Karnataka,I found the meal to be quite average; nothing particularly stood out.
27,Fried Rice,Snacks,West Bengal,but the seasoning could improve.
11,Fish Fry,Street Food,West Bengal,Overall
17,Samosa,Snacks,Tamil Nadu,I loved the combination of flavors; it was a delightful surprise.
32,Tikki,Snacks,Tamil Nadu,but the food was just average.
19,Pani Puri,Healthy,Kerala,I was left wanting more; it felt incomplete.
30,Methi Paratha,Cheesy,Gujarat,but the food was just average.
25,Barfi,Healthy,Gujarat,The ingredients felt fresh
61,Baingan Bharta,Healthy,Punjab,making it a good value.
42,Chicken Vindaloo,Dessert,Gujarat,The consistency was a bit strange; not what I expected.
32,Chili Chicken,Snacks,Uttar Pradesh,Overall
30,Pani Puri,Cheesy,Tamil Nadu,making it a memorable dish.
24,Cheese Samosa,Vegan,Tamil Nadu,It was quite disappointing; I expected a lot more flavor.
22,Barfi,Healthy,Kerala,It was just alright; I wouldn't go out of my way to have it again.
21,Palak Paneer,Street Food,Uttar Pradesh,but I feel there are better options available.
62,Paneer Tikka,Dessert,Uttar Pradesh,though not memorable.
32,Spicy Prawn Curry,Vegan,West Bengal,a satisfying meal that I would recommend.
57,Kung Pao Chicken,Spicy,Karnataka,but the seasoning could improve.
67,Kachori,Indian Curry,Tamil Nadu,The overall experience was pleasant
49,Tandoori Fish,Seafood,Maharashtra,making it a good value.
35,Jalebi,Dessert,Gujarat,I was left wanting more; it felt incomplete.
23,Spicy Szechuan Noodles,Street Food,Gujarat,It was okay
53,Dim Sum,Chinese,Uttar Pradesh,making it a good value.
34,Chaat,Indian Curry,Delhi,I found the meal to be quite average; nothing particularly stood out.
37,Tikki,Dessert,Rajasthan,It was fine
21,Fish Tikka,Spicy,Karnataka,The portion size was generous
27,Methi Paratha,Street Food,Gujarat,The food was decent
10,Pav Bhaji,Chinese,Tamil Nadu,The flavors were unique
46,Sev,Vegan,Gujarat,The food was decent
58,Peda,Cheesy,Uttar Pradesh,though not memorable.
54,Fish Curry,Dessert,Kerala,The portion size was generous
67,Chaat,Street Food,Kerala,I was left wanting more; it felt incomplete.
61,Chaat,Dessert,Tamil Nadu,making it a memorable dish.
23,Pani Puri,Snacks,Karnataka,but I wouldn't order it again.
46,Aloo Gobi,Seafood,West Bengal,I appreciated the effort put into the dish
48,Butter Chicken,Seafood,Gujarat,The food was decent
58,Ghar Ka Khana,Cheesy,West Bengal,The service was excellent
52,Tandoori Chicken,Snacks,Kerala,Absolutely loved the spices used; it was a delightful experience!
43,Aloo Gobi,Chinese,Maharashtra,but I think it could use a bit more spice.
27,Hot and Sour Soup,Seafood,Maharashtra,The texture was perfect
58,Grilled Paneer,Healthy,Delhi,I was not a fan of the seasoning; it felt a bit off.
23,Grilled Paneer,Spicy,Uttar Pradesh,The meal was satisfying
39,Tandoori Cauliflower,Seafood,Rajasthan,I was surprised by how bland the dish turned out to be.
22,Manchurian,Vegan,Uttar Pradesh,and every bite was a joy!
67,Bombil Fry,Healthy,Rajasthan,and the taste did not disappoint.
25,Fish Tikka,Chinese,Karnataka,The overall experience was pleasant
38,Spicy Szechuan Noodles,Indian Curry,Rajasthan,but the seasoning could improve.
56,Cheesy Garlic Bread,Street Food,West Bengal,I loved the combination of flavors; it was a delightful surprise.
67,Malabar Fish Curry,Dessert,Kerala,I enjoyed it
22,Kuchcha Aam Ki Barfi,Street Food,Karnataka,but I expected more based on the reviews.
13,Vada Pav,Snacks,West Bengal,I enjoyed it
51,Aloo Tikki,Spicy,Delhi,a satisfying meal that I would recommend.
24,Sprouted Moong Salad,Chinese,West Bengal,but I feel there are better options available.
69,Paneer Butter Masala,Dessert,Maharashtra,but it missed the mark.
39,Vegetable Biryani,Snacks,Punjab,The meal was packed with flavor; I can't wait to have it again!
63,Chana Masala,Vegan,West Bengal,The service was excellent
25,Vada Pav,Healthy,West Bengal,making it a good value.
29,Chaat,Cheesy,Maharashtra,making it a good value.
50,Mac and Cheese,Seafood,Kerala,I was surprised by how bland the dish turned out to be.
53,Stuffed Bell Peppers,Dessert,Kerala,Overall
54,Rajma Chawal,Street Food,West Bengal,I was left wanting more; it felt incomplete.
10,Pork Ribs,Healthy,Karnataka,Overall
39,Rajma,Dessert,Punjab,Overall
45,Chili Chicken,Snacks,Rajasthan,The meal had great potential but ultimately fell short.
42,Grilled Paneer,Dessert,Delhi,I found it to be too oily for my liking.
32,Kachori,Seafood,Gujarat,It was just alright; I wouldn't go out of my way to have it again.
70,Pav Bhaji,Chinese,Maharashtra,and the taste lived up to expectations.
21,Spring Rolls,Snacks,Karnataka,I was not a fan of the seasoning; it felt a bit off.
24,Grilled Paneer,Snacks,Delhi,The portion size was generous
29,Rajma Chawal,Chinese,Delhi,The meal was packed with flavor; I can't wait to have it again!
31,Mac and Cheese,Street Food,Karnataka,The service was excellent
69,Masala Dosa,Indian Curry,Tamil Nadu,I enjoyed it
57,Zucchini Noodles,Vegan,Rajasthan,It was quite disappointing; I expected a lot more flavor.
16,Peda,Healthy,Delhi,The service was excellent
67,Vegan Pulao,Street Food,Punjab,and the taste lived up to expectations.
34,Kheer,Seafood,Uttar Pradesh,It was okay
39,Pork Ribs,Cheesy,Kerala,The overall experience was pleasant
32,Pakoras,Indian Curry,West Bengal,I loved the combination of flavors; it was a delightful surprise.
51,Dim Sum,Vegan,Rajasthan,I was not a fan of the seasoning; it felt a bit off.
59,Samosa,Dessert,Punjab,I was left wanting more; it felt incomplete.
50,Cheesy Garlic Bread,Indian Curry,Delhi,I found it to be too oily for my liking.
70,Rabri,Vegan,Tamil Nadu,but I think it could use a bit more spice.
57,Chili Chicken,Seafood,Delhi,but it missed the mark.
33,Aloo Tikki,Healthy,Punjab,I enjoyed the freshness of the ingredients; it made a difference.
35,Goan Prawn Curry,Indian Curry,Punjab,The aroma was inviting
10,Gajar Halwa,Spicy,Uttar Pradesh,The meal was satisfying
39,Pani Puri,Street Food,Karnataka,It was quite disappointing; I expected a lot more flavor.
55,Fish Curry,Street Food,West Bengal,It was just alright; I wouldn't go out of my way to have it again.
44,Fish Tikka,Street Food,Uttar Pradesh,I was surprised by how bland the dish turned out to be.
44,Dahi Puri,Dessert,Delhi,I found it to be too oily for my liking.
44,Cheesy Veggie Wrap,Vegan,West Bengal,The meal had great potential but ultimately fell short.
61,Spring Rolls,Seafood,Punjab,making it a memorable dish.
56,Aloo Tikki Chaat,Snacks,Uttar Pradesh,The presentation was impressive
29,Zucchini Noodles,Chinese,Gujarat,The overall experience was pleasant
55,Cheese Pav Bhaji,Street Food,West Bengal,and I appreciated the creativity behind it.
57,Mac and Cheese,Indian Curry,Tamil Nadu,and every bite was a joy!
54,Spring Rolls,Spicy,Punjab,The texture was perfect
33,Cheese Dosa,Vegan,Delhi,and the taste lived up to expectations.
27,Vegetable Soup,Healthy,Tamil Nadu,making it a good value.
51,Cheese Samosa,Chinese,Punjab,I enjoyed it
28,Rabri,Spicy,Punjab,The meal had great potential but ultimately fell short.
53,Hakka Noodles,Indian Curry,Rajasthan,but it missed the mark.
46,Mac and Cheese,Snacks,Punjab,The dish was well-prepared and the flavors were spot on!
60,Dal Makhani,Snacks,Punjab,The meal was satisfying
22,Dhokla,Spicy,Delhi,The consistency was a bit strange; not what I expected.
62,Bhel Puri,Dessert,Tamil Nadu,I appreciated the effort put into the dish
57,Vegetable Soup,Spicy,Gujarat,The presentation was impressive
11,Spring Rolls,Street Food,Maharashtra,I was surprised by how bland the dish turned out to be.
68,Cheese Naan,Spicy,West Bengal,Absolutely loved the spices used; it was a delightful experience!
15,Pani Puri,Street Food,Delhi,The meal was packed with flavor; I can't wait to have it again!
68,Chicken Curry,Healthy,Delhi,I was left wanting more; it felt incomplete.
64,Crab Masala,Chinese,West Bengal,I was left wanting more; it felt incomplete.
65,Palak Paneer,Indian Curry,Tamil Nadu,The consistency was a bit strange; not what I expected.
65,Cheese Dosa,Seafood,Maharashtra,I was thrilled with how flavorful it was; a real treat!
38,Chili Chicken,Indian Curry,Kerala,I was left wanting more; it felt incomplete.
57,Samosa,Cheesy,Karnataka,The service was excellent
19,Zucchini Noodles,Seafood,Uttar Pradesh,It was okay
29,Masala Dosa,Chinese,Gujarat,It was okay
38,Masala Dosa,Chinese,West Bengal,The dish was average; I expected more based on the hype.
63,Chana Masala,Snacks,Kerala,The ingredients felt fresh
18,Hakka Noodles,Snacks,Uttar Pradesh,I appreciated the effort put into the dish
49,Paneer Butter Masala,Seafood,West Bengal,but I expected more based on the reviews.
50,Chaat,Spicy,Tamil Nadu,The service was excellent
22,Dim Sum,Vegan,Kerala,but I wouldn't order it again.
44,Chicken Curry,Healthy,Maharashtra,I found it to be too oily for my liking.
17,Fish Fry,Dessert,West Bengal,It was fine
21,Cheesy Garlic Bread,Indian Curry,Maharashtra,The dish was well-prepared and the flavors were spot on!
54,Cheesy Veggie Wrap,Snacks,Gujarat,I was thrilled with how flavorful it was; a real treat!
44,Kheer,Indian Curry,Gujarat,The texture was perfect
65,Methi Paratha,Cheesy,Gujarat,making it a good value.
24,Chana Masala,Chinese,Uttar Pradesh,I was thrilled with how flavorful it was; a real treat!
27,Cheesy Pasta,Snacks,Punjab,The texture was perfect
41,Fish Fry,Cheesy,Karnataka,but it missed the mark.
18,Malabar Fish Curry,Healthy,Kerala,I found it to be too oily for my liking.
45,Chicken Curry,Indian Curry,Uttar Pradesh,The portion size was generous
70,Samosa,Street Food,Punjab,though not memorable.
12,Tikki,Spicy,West Bengal,The presentation was impressive
22,Kung Pao Chicken,Cheesy,Karnataka,The consistency was a bit strange; not what I expected.
58,Spicy Szechuan Noodles,Chinese,West Bengal,but it missed the mark.
12,Aloo Gobi,Seafood,Tamil Nadu,a satisfying meal that I would recommend.
21,Paneer Tikka Masala,Chinese,Maharashtra,The service was excellent
29,Bombil Fry,Seafood,Kerala,I was not a fan of the seasoning; it felt a bit off.
31,Tandoori Fish,Healthy,Gujarat,The food was decent
70,Grilled Paneer,Vegan,Maharashtra,but the food was just average.
68,Murukku,Vegan,West Bengal,The meal was packed with flavor; I can't wait to have it again!
